,empty_slots,free_bikes,id,latitude,longitude,name
0,9,3,45dbb0009135e465f49f054517cbe74d,43.259125842121065,-79.87721174955368,Hess at king
1,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park
2,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan
3,9,4,b933317ff2861c45aacbea4cbf4b541f,43.263198441574474,-79.87180307507515,Bay at Mulberry
4,9,8,20dc109608315db09a8332d6e6940c75,43.2561324863605,-79.8744987564414,City Hall
5,2,9,a386509756e2c2e15483eaaf344fb412,43.2538302267771,-79.8753935613187,Bay at Bold
6,0,10,3527ca2c4e22a011c0615126afce23d5,43.2496354495324,-79.8720555723035,James S at Charlton
7,6,5,337f37f6d8b9db34372c0cfe1a7d2595,43.26456372689135,-79.8777937889099,Oxford at York
8,7,4,8bd4d92cf10d53a1b69805e875ca2001,43.2618861338306,-79.877606006297,Queen at Peter
9,5,7,95c24984959b304fdb8bb3ab251810e9,43.257877862291,-79.8561337635964,West at Cannon
10,31,4,2a91db522d9c3f209772a8f35b8ee4e1,43.26271404114188,-79.91580605506897,Forsyth at Sterling
11,4,5,1846562b60f9d9469c055fed1d84898e,43.25112644429895,-79.82740849256516,Gage at Cannon - ERI11
12,7,5,630c0983a0b38edfc8772e7b45c8dab1,43.2540651616154,-79.8819466027797,H.A.A.A. Park
13,6,10,f5019394e945492c7644ad38a0db33ce,43.255383107655966,-79.87889617681503,Hunter at Hess
14,4,5,39c08c3439e8b49ff26c7d7d9dfe6ed1,43.24943274108067,-79.8388883471489,Dunsmure at Sherman - ERI10
15,6,3,18ed716ef5002294aaa2ff40b3fd8921,43.24634382646498,-79.82685998082161,King at Dunsmure - ERI09
16,3,9,91fa730ae5a6c44945e897d27119a5f2,43.2628018805713,-79.8827367298478,Locke at Napier
17,6,6,5abbf86662e318c18e2e8eb448f2e5c8,43.2659146108256,-79.8819495909127,York at Inchbury
18,8,5,17dcbb977faa236652d5f039ee54eab5,43.2488085584277,-79.8836993988543,Aberdeen at Queen
19,6,3,dff4dd3a682e5fd806a7004a34f166e4,43.26240933566922,-79.88798081874847,King at Dundurn
20,7,3,34e98e408d0478448d774f24fbb9105a,43.25966301112219,-79.8892092704773,Main at Dundurn
21,6,6,d6c7c14e47cd30a743d379e7e544f2f2,43.2548127612063,-79.8909067737901,Dundurn St S
22,0,17,5fd1db2bc0ce16dcc7c983c80fb8ff34,43.262460120020584,-79.92224670946598,McMaster Mary Keyes
23,6,22,d87ad3e6e7e39c8680e5da273289126a,43.26053126154136,-79.91824820637703,McMaster Health Sciences
24,2,13,d933c4e54010753b1c85727ba6e203a2,43.2599690032886,-79.922358671032,McMaster Arthur Bourns
25,0,21,4bc9ff88b1ceaa64a384fa9731ae8d01,43.258038792898375,-79.91978779435158,McMaster Emerson
26,6,5,dd521d8e002ed058f01ea5c1d6a899d7,43.2662112220324,-79.8993094512,Longwood at Edgevale
27,7,2,ef31eb281843d11149a891269f438331,43.2630174571678,-79.9009418422827,Longwood at King
28,8,3,4f4fb284d16149957dda0b5ea3fb8a61,43.2460802627748,-79.90823779724,Chedoke Stairs
29,13,4,bd96d779c3e3b836ca90e548eee888a1,43.25656885270854,-79.9011692404747,McMaster Innovation Park
30,6,6,7c7c2a29076e490b95bc735fbcaed460,43.2621672804245,-79.8964982026467,Macklin at King
31,17,7,99ec29f3c8fe3433ed45611988e8ca4d,43.251458458948996,-79.89265590906143,Dundurn at Aberdeen
32,4,4,1fcd421afe5b8dcde4553554201a7ed2,43.2465214141618,-79.8947787566411,Dundurn Stairs
33,1,0,6690c346b37fcd1b741875064926638a,43.26547419149645,-79.94765996932983,Cootes Drive Dundas
34,8,4,8601b4c3dfc470daf8d5e63b28b20e7f,43.2729912871819,-79.8945270389426,Princess Point
35,8,4,ec51bdbd1936f333b917f2154087c814,43.25650634283747,-79.88345324993132,Pearl Street Bridge
36,11,6,8d388d807755c747375a2b7c4b18eada,43.2546745875963,-79.9208028150996,Rail Trail at Emerson
37,5,4,6f17e8701f57d4460774045411bcec7e,43.262715994377196,-79.90359663963316,Westdale Library
38,5,10,77030d658ee4dd5f9ad7a741fe3cdd79,43.2521423210113,-79.9222158171462,Emerson at Whitney
39,7,4,133e6840636162eef8f7c0e877071607,43.2622271626907,-79.9133658840373,Sterling at Whitton
40,2,8,3736ced2decabcac22ddf364fe1d5407,43.26202552179778,-79.91026729345322,Sterling at Haddon
41,4,9,a7f3ee3b05806c3e979202c0590d5179,43.2599031676959,-79.9264810904732,Sanders at Hollywood
42,10,3,df7262645c8624531b1a34cf39c89771,43.2605367847852,-79.9092948353051,King at Cline
43,11,1,b23eb87ed716fb2e4f127b9b893f29bc,43.2535916384655,-79.9166152756283,Rail Trail at Stroud
44,4,8,2b42c682f103d65f546555b599e8cf52,43.2585671813327,-79.90785866975784,Main at Columbia College
45,1,0,3a13a5c31c7483e54a8c71af5a9b0668,43.26595632543361,-79.95375394821166,King Street Dundas
46,5,4,e3f950c764985f5663487f33c961e47d,43.2515957745917,-79.8749090863127,Park at Robinson
47,9,0,4f8e0eeb6b9c0a79a192d73ec6cfc98f,43.25802547698811,-79.91383865476678,Main at Dalewood
48,9,4,ad7d9eea49ccec4ac431465d5b6bc8a4,43.254529435061336,-79.86718028783798,John at Main
49,26,6,8c7e7edf96c59d7ec1d5abb24432e779,43.25161474646046,-79.83134329318999,Stadium
50,0,10,43cf0e9fa1672920ce236fc613eee2e3,43.2572539435115,-79.9342255404988,Osler at Main
