,poi_fsq_id,poi_name,category_id,category_name,poi_distance,poi_address,station_id
0,579b8d6b498ea8f02d7fc402,Coop Hamilton,13055,Fried Chicken Joint,22,274 King St W,45dbb0009135e465f49f054517cbe74d
1,5796abdc498eb9b6b1d59458,Coop Wicked Chicken Hamilton,13055,Fried Chicken Joint,19,274 King St W,45dbb0009135e465f49f054517cbe74d
2,4c57494d30d82d7fd583d962,La Luna Restaurant Downtown,13298,Lebanese Restaurant,111,306 King St W,45dbb0009135e465f49f054517cbe74d
3,4c57494d30d82d7fd583d962,La Luna Restaurant Downtown,13302,Mediterranean Restaurant,111,306 King St W,45dbb0009135e465f49f054517cbe74d
4,4c57494d30d82d7fd583d962,La Luna Restaurant Downtown,13303,Mexican Restaurant,111,306 King St W,45dbb0009135e465f49f054517cbe74d
5,4c09190935ac9c74b85e85f7,Hess Village,16065,Neighborhood,77,,45dbb0009135e465f49f054517cbe74d
6,4c09190935ac9c74b85e85f7,Hess Village,10039,Music Venue,77,,45dbb0009135e465f49f054517cbe74d
7,56151620498e131e3dcb19e7,Ark + Anchor,13035,Coffee Shop,81,300 King St W,45dbb0009135e465f49f054517cbe74d
8,4b36ab89f964a520553a25e3,Casbah,13016,Lounge,111,306 King St W,45dbb0009135e465f49f054517cbe74d
9,4c078f338a81c9b656592790,Scottish Rite,10000,Arts and Entertainment,176,4 Queen St S,45dbb0009135e465f49f054517cbe74d
10,4dbf7017a86e2f4250abc6b1,Vida la Pita,13145,Fast Food Restaurant,120,217 King St W,45dbb0009135e465f49f054517cbe74d
11,4dbf7017a86e2f4250abc6b1,Vida la Pita,13309,Middle Eastern Restaurant,120,217 King St W,45dbb0009135e465f49f054517cbe74d
12,511d7162e4b084a5d1f26958,The George Hamilton,13065,Restaurant,301,152 King St W,45dbb0009135e465f49f054517cbe74d
13,4b628f4bf964a5205a4b2ae3,Hamilton Farmers' Market,17065,Farmers Market,594,55 York Blvd,45dbb0009135e465f49f054517cbe74d
14,4b628f4bf964a5205a4b2ae3,Hamilton Farmers' Market,17069,Grocery Store,594,55 York Blvd,45dbb0009135e465f49f054517cbe74d
0,4b817446f964a5201da730e3,Bayfront Park,16032,Park,102,325 Bay St N,cd881edad122a75c57d94b381cdfc6c0
1,4c014ecef7ab0f478fda15b6,Hutch's Harbour Front,13051,Fish and Chips Shop,320,325 Bay St N,cd881edad122a75c57d94b381cdfc6c0
2,4c014ecef7ab0f478fda15b6,Hutch's Harbour Front,13145,Fast Food Restaurant,320,325 Bay St N,cd881edad122a75c57d94b381cdfc6c0
3,4c014ecef7ab0f478fda15b6,Hutch's Harbour Front,13338,Seafood Restaurant,320,325 Bay St N,cd881edad122a75c57d94b381cdfc6c0
4,4bf3d9bd354e9c74b5a72602,Pier 4 Park,18000,Sports and Recreation,551,Leander Dr,cd881edad122a75c57d94b381cdfc6c0
5,4b689c20f964a520be822be3,The Harbour Diner,13049,Diner,637,486 James St N,cd881edad122a75c57d94b381cdfc6c0
6,4b689c20f964a520be822be3,The Harbour Diner,13134,Comfort Food Restaurant,637,486 James St N,cd881edad122a75c57d94b381cdfc6c0
7,5ba0f82a15173e002c280c07,Synonym,13035,Coffee Shop,700,328 James St N,cd881edad122a75c57d94b381cdfc6c0
8,5ba0f82a15173e002c280c07,Synonym,13065,Restaurant,700,328 James St N,cd881edad122a75c57d94b381cdfc6c0
9,4de3b557d4c0704405898320,Fisher's Pier 4 Pub & Grub,13065,Restaurant,766,554 James St N,cd881edad122a75c57d94b381cdfc6c0
10,551860b6498e870a8f8cc217,Saltlick Smokehouse,13026,BBQ Joint,765,282 James St N,cd881edad122a75c57d94b381cdfc6c0
