,poi_id,name,review_count,rating,price,distance,full_address,station_id
0,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,$$,108.42454951711392,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",45dbb0009135e465f49f054517cbe74d
1,bHecMQ85o3ayw1t9hRA90g,The French,98.0,4.0,$$$,814.1051540640244,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",45dbb0009135e465f49f054517cbe74d
2,Q4oLgsU62VPR28pBm0vCXw,Earth To Table : Bread Bar,293.0,4.0,$$,1052.1415211374524,"['258 Locke Street S', 'Hamilton, ON L8P 4B9', 'Canada']",45dbb0009135e465f49f054517cbe74d
3,9oIPWjU3DvtSdORv6I2toQ,The Ship,209.0,4.0,$$,970.855527645918,"['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']",45dbb0009135e465f49f054517cbe74d
4,752Fv2jKafftvoS3Twkqyg,Hambrgr,202.0,4.0,$$,858.6720961059851,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",45dbb0009135e465f49f054517cbe74d
5,h2mI1wBIK1PyaNupaL58gw,The Mule,179.0,4.0,$$,833.7234169860423,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",45dbb0009135e465f49f054517cbe74d
6,dxsrhzpSxY9wDGbZxhIjHQ,The Coop,43.0,4.0,$$,18.43131711926058,"['274-274 King Street W', 'Hamilton, ON L8P 1J6', 'Canada']",45dbb0009135e465f49f054517cbe74d
7,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,321.9290467182559,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",45dbb0009135e465f49f054517cbe74d
8,i8nQA6qFkr3TmSCZ1ukbGQ,Electric Diner,17.0,3.5,,106.43795439871784,"['96 George Street', 'Hamilton, ON L8P 3M8', 'Canada']",45dbb0009135e465f49f054517cbe74d
9,ZgoVlQmApvjWt-0evoeoGQ,Moodys,13.0,4.0,,151.94419171172675,"['107 George Street', 'Hamilton, ON L8P 1E3', 'Canada']",45dbb0009135e465f49f054517cbe74d
10,xwVB61hW9rpyp6wALR4Apg,Berkeley North,42.0,4.5,$$$,792.5444575825189,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",45dbb0009135e465f49f054517cbe74d
11,BcOccyfjH_pfu8Z871iSEQ,Ark and Anchor,14.0,4.5,$$,82.37414511053889,"['300 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",45dbb0009135e465f49f054517cbe74d
12,oOxuBeVcfyEExUn2d_FO0A,Smoke's Poutinerie,38.0,3.5,$,128.9456689732675,"['112 George Street', 'Hamilton, ON L8P 1E3', 'Canada']",45dbb0009135e465f49f054517cbe74d
13,Fkm6WTO7-auG5V4NtzpvRA,Amigos,14.0,4.5,,156.29169160867355,"['109 George Street', 'Hamilton, ON L8P 1E3', 'Canada']",45dbb0009135e465f49f054517cbe74d
14,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,$$,821.1130322762258,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",45dbb0009135e465f49f054517cbe74d
15,1E7ww2xRfk6GKEw5HRg4qg,Papagayo Restaurant,10.0,4.0,$$,63.27330748627651,"['246 King Street W', 'Hamilton, ON L8P 1A9', 'Canada']",45dbb0009135e465f49f054517cbe74d
16,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,964.3461930123414,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",45dbb0009135e465f49f054517cbe74d
17,XqZOIEbNX7mdIg1Cwb1RWw,Famous Recipe,9.0,5.0,,283.12798300914505,"['158 King Street W', 'Hamilton, ON L8P 1A6', 'Canada']",45dbb0009135e465f49f054517cbe74d
18,uy_vkyImATNvWYzbUCOxyQ,The Burnt Tongue,41.0,4.5,$$,793.3544203705632,"['182 Locke Street S', 'Hamilton, ON L8P 4B3', 'Canada']",45dbb0009135e465f49f054517cbe74d
19,o_CBe1ZQs6kj-Aet2qmL5A,Planted in Hamilton,37.0,4.5,$$,864.8110238264727,"['211 Locke Street S', 'Hamilton, ON L8P 4B6', 'Canada']",45dbb0009135e465f49f054517cbe74d
0,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,831.2369951611166,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
1,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,$,1031.696829523038,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
2,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,$$,985.315682988784,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
3,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,965.0146086747776,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
4,RRnbO5NZq716CC8emwWedg,Mulberry Coffeehouse,76.0,4.0,$$,905.2495675882021,"['193 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
5,hqNHaNUTkM_WpzMdfNBWMA,Synonym,12.0,4.5,,710.3501237254343,"['328 James Street N', 'Hamilton, ON L8L 1H2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
6,9SSQNmfpLEK_p3otvMVy9Q,Born and Raised,25.0,4.0,$$,862.4068185089621,"['224 James Street N', 'Hamilton, ON L8R 2L3', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
7,hokatJ4ORfrw_4dClPC16Q,Pho Lac Vien,19.0,4.0,$,891.9493679327716,"['430 York Boulevard', 'Hamilton, ON L8R 3K8', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
8,Q3urZhGC4If6AGEhzDVqnQ,Green Bar,17.0,4.5,$,833.4056510113088,"['236 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
9,KlShqEAvqRFUYJafx56tkQ,Pho Hamilton,6.0,4.5,,889.528166240281,"['115 Park Street N', 'Hamilton, ON L8R 2N2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
10,0vw6fL9m6j_9U4vonPKwGg,Buona Vita Pizza,13.0,4.5,$,953.5593143660097,"['82 Queen Street  N', 'Hamilton, ON L8R 2V4', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
11,ItFdUxjIkl4OTXiKQ1nNHw,Harbour Diner,58.0,4.0,$$,649.5871240078103,"['486 James Street N', 'Hamilton, ON L8L 1J1', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
12,YGPmtIFExK1InW_zafl4MA,Mesa,57.0,4.0,$$,796.6904900967081,"['255 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
13,AQ1M0uYOsgNlynTg8lBSmA,Pho Dui Bo,28.0,3.5,$,1019.7476694490451,"['15 Cannon Street E', 'Unit 2', 'Hamilton, ON L8L', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
14,PQKwbTLMeTSeIldSx1qnug,Dunas Verdes Cafe,7.0,3.5,$$,798.0543494066914,"['253 James St N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
15,WZy6T1GoC_IphM9d4oZh-w,Wild Orchid,17.0,3.0,$$,786.739783297374,"['286 James St N', 'Hamilton, ON L8R 2L3', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
